1	0
2	2
3	5
4	6
5	10
6	8
7	8
8	5
9	6
10	7
11	9
12	9
13	9
14	3
15	3
16	4
17	9
18	1
19	5
20	3
21	4
22	1
23	9
24	2
25	1
26	1
27	3
28	3
29	3
30	9
31	3
32	6
33	10
34	6
35	10
36	1
37	6
38	8
39	4
40	1
41	9
42	7
43	1
44	2
45	7
46	1
47	4
48	4
49	3
50	1
51	4
52	3
53	4
54	8
55	9
56	6
57	8
58	8
59	7
60	4
61	8
62	5
63	2
64	7
65	4
66	9
67	8
68	9
69	1
70	8
71	5
72	1
73	5
74	8
75	3
76	3
77	2
78	5
79	9
80	1
81	4
82	4
83	5
84	2
85	10
86	2
87	4
88	7
89	8
90	9
91	6
92	6
93	8
94	7
95	9
96	4
97	1
98	4
99	3
100	7
101	1
102	10
103	7
104	4
105	6
106	1
107	3
108	5
109	3
110	6
111	5
112	10
113	4
114	9
115	5
116	8
117	2
118	3
119	7
120	9
121	2
122	0
