1	1	0
2	1	0
3	1	0
4	1	0
1	2	8
2	2	2
3	2	4
4	2	4
1	3	0
2	3	1
3	3	0
4	3	6
1	4	0
2	4	8
3	4	8
4	4	6
1	5	3
2	5	0
3	5	9
4	5	4
1	6	0
2	6	10
3	6	0
4	6	0
1	7	0
2	7	4
3	7	10
4	7	4
1	8	5
2	8	8
3	8	7
4	8	9
1	9	5
2	9	9
3	9	8
4	9	4
1	10	9
2	10	9
3	10	0
4	10	6
1	11	8
2	11	4
3	11	1
4	11	0
1	12	6
2	12	0
3	12	3
4	12	0
1	13	9
2	13	5
3	13	0
4	13	10
1	14	6
2	14	0
3	14	0
4	14	0
1	15	0
2	15	0
3	15	10
4	15	4
1	16	10
2	16	4
3	16	6
4	16	1
1	17	3
2	17	7
3	17	8
4	17	7
1	18	10
2	18	6
3	18	0
4	18	6
1	19	1
2	19	10
3	19	4
4	19	4
1	20	4
2	20	1
3	20	8
4	20	2
1	21	1
2	21	9
3	21	5
4	21	0
1	22	2
2	22	7
3	22	9
4	22	0
1	23	5
2	23	1
3	23	6
4	23	8
1	24	10
2	24	0
3	24	9
4	24	9
1	25	5
2	25	3
3	25	1
4	25	8
1	26	7
2	26	0
3	26	5
4	26	4
1	27	0
2	27	0
3	27	4
4	27	1
1	28	4
2	28	10
3	28	0
4	28	0
1	29	4
2	29	0
3	29	0
4	29	9
1	30	2
2	30	2
3	30	5
4	30	5
1	31	0
2	31	2
3	31	3
4	31	10
1	32	0
2	32	5
3	32	2
4	32	9
1	33	2
2	33	5
3	33	2
4	33	7
1	34	9
2	34	6
3	34	9
4	34	0
1	35	8
2	35	10
3	35	3
4	35	5
1	36	4
2	36	2
3	36	4
4	36	0
1	37	7
2	37	6
3	37	0
4	37	0
1	38	2
2	38	3
3	38	7
4	38	2
1	39	0
2	39	0
3	39	8
4	39	3
1	40	5
2	40	2
3	40	0
4	40	4
1	41	9
2	41	6
3	41	3
4	41	7
1	42	4
2	42	0
3	42	6
4	42	0
1	43	8
2	43	3
3	43	8
4	43	8
1	44	10
2	44	2
3	44	1
4	44	0
1	45	6
2	45	0
3	45	6
4	45	0
1	46	9
2	46	0
3	46	9
4	46	0
1	47	9
2	47	6
3	47	8
4	47	2
1	48	5
2	48	4
3	48	0
4	48	9
1	49	9
2	49	7
3	49	10
4	49	0
1	50	2
2	50	0
3	50	0
4	50	2
1	51	2
2	51	7
3	51	10
