1	0
2	4
3	5
4	7
5	1
6	9
7	5
8	3
9	7
10	9
11	2
12	5
13	1
14	6
15	7
16	3
17	9
18	7
19	6
20	5
21	10
22	9
23	9
24	3
25	4
26	2
27	4
28	4
29	5
30	4
31	6
32	8
33	9
34	9
35	9
36	9
37	2
38	3
39	4
40	9
41	9
42	9
43	2
44	7
45	5
46	8
47	8
48	8
49	1
50	7
51	7
52	2
53	9
54	4
55	5
56	8
57	3
58	6
59	4
60	10
61	7
62	9
63	8
64	1
65	4
66	2
67	6
68	8
69	8
70	10
71	10
72	5
73	2
74	7
75	2
76	10
77	9
78	5
79	7
80	8
81	1
82	10
83	7
84	3
85	10
86	8
87	1
88	6
89	2
90	3
91	5
92	7
93	4
94	3
95	7
96	3
97	7
98	1
99	6
100	5
101	1
102	10
103	1
104	1
105	6
106	7
107	9
108	3
109	6
110	4
111	5
112	10
113	3
114	9
115	10
116	1
117	6
118	6
119	8
120	4
121	7
122	0
